version,five_star_characters,start_date,end_date,est_revenue_jpy,revenue_oku_display,revenue_region,revenue_source,year,rank_yearly,rank_cumulative
1.2,Albedo,2020-12-23,2021-01-12,852000000,8.52億G,jp_ios,game_i_daa,2020,【年間】5位 / 全5件,【累計】54位 / 全97件
1.1,Zhongli,2020-12-01,2020-12-22,1805999999,18.06億G,jp_ios,game_i_daa,2020,【年間】2位 / 全5件,【累計】16位 / 全97件
1.1,Tartaglia,2020-11-11,2020-12-01,1532000000,15.32億G,jp_ios,game_i_daa,2020,【年間】3位 / 全5件,【累計】22位 / 全97件
1.0,Klee,2020-10-20,2020-11-10,2003000000,20.03億G,jp_ios,game_i_daa,2020,【年間】1位 / 全5件,【累計】14位 / 全97件
1.0,Venti,2020-09-28,2020-10-18,1506000000,15.06億G,jp_ios,game_i_daa,2020,【年間】4位 / 全5件,【累計】23位 / 全97件
2.3,Arataki Itto,2021-12-14,2022-01-04,1071000000,10.71億G,jp_ios,game_i_daa,2021,【年間】12位 / 全18件,【累計】44位 / 全97件
2.3,Eula,2021-11-24,2021-12-14,1667000000,16.67億G,jp_ios,game_i_daa,2021,【年間】4位 / 全18件,【累計】19位 / 全97件
2.2,Hu Tao,2021-11-02,2021-11-23,2468000000,24.68億G,jp_ios,game_i_daa,2021,【年間】1位 / 全18件,【累計】5位 / 全97件
2.2,Tartaglia,2021-10-13,2021-11-02,1404000000,14.04億G,jp_ios,game_i_daa,2021,【年間】5位 / 全18件,【累計】30位 / 全97件
2.1,Sangonomiya Kokomi,2021-09-21,2021-10-12,1103000000,11.03億G,jp_ios,game_i_daa,2021,【年間】11位 / 全18件,【累計】43位 / 全97件
2.1,Raiden Shogun,2021-09-01,2021-09-21,2102000000,21.02億G,jp_ios,game_i_daa,2021,【年間】2位 / 全18件,【累計】9位 / 全97件
2.0,Yoimiya,2021-08-10,2021-08-31,1198000000,11.98億G,jp_ios,game_i_daa,2021,【年間】8位 / 全18件,【累計】37位 / 全97件
2.0,Kamisato Ayaka,2021-07-21,2021-08-10,1154000000,11.54億G,jp_ios,game_i_daa,2021,【年間】10位 / 全18件,【累計】41位 / 全97件
1.6,Kaedehara Kazuha,2021-06-29,2021-07-20,771000000,7.71億G,jp_ios,game_i_daa,2021,【年間】16位 / 全18件,【累計】57位 / 全97件
1.6,Klee,2021-06-09,2021-06-29,1013000000,10.13億G,jp_ios,game_i_daa,2021,【年間】14位 / 全18件,【累計】47位 / 全97件
1.5,Eula,2021-05-18,2021-06-08,1238000000,12.38億G,jp_ios,game_i_daa,2021,【年間】7位 / 全18件,【累計】35位 / 全97件
1.5,Zhongli,2021-04-28,2021-05-18,961999999,9.62億G,jp_ios,game_i_daa,2021,【年間】15位 / 全18件,【累計】48位 / 全97件
1.4,Tartaglia,2021-04-06,2021-04-27,1158000000,11.58億G,jp_ios,game_i_daa,2021,【年間】9位 / 全18件,【累計】40位 / 全97件
1.4,Venti,2021-03-17,2021-04-06,680000000,6.80億G,jp_ios,game_i_daa,2021,【年間】17位 / 全18件,【累計】65位 / 全97件
1.3,Hu Tao,2021-03-02,2021-03-16,1267000000,12.67億G,jp_ios,game_i_daa,2021,【年間】6位 / 全18件,【累計】34位 / 全97件
1.3,Keqing,2021-02-16,2021-03-02,656000000,6.56億G,jp_ios,game_i_daa,2021,【年間】18位 / 全18件,【累計】67位 / 全97件
1.3,Xiao,2021-02-03,2021-02-16,1064000000,10.64億G,jp_ios,game_i_daa,2021,【年間】13位 / 全18件,【累計】45位 / 全97件
1.2,Ganyu,2021-01-12,2021-02-02,2057000000,20.57億G,jp_ios,game_i_daa,2021,【年間】3位 / 全18件,【累計】11位 / 全97件
3.3,Raiden Shogun|Kamisato Ayato,2022-12-27,2023-01-17,1469000000,14.69億G,jp_ios,game_i_daa,2022,【年間】13位 / 全18件,【累計】26位 / 全97件
3.3,Wanderer|Arataki Itto,2022-12-07,2022-12-27,1479000000,14.79億G,jp_ios,game_i_daa,2022,【年間】12位 / 全18件,【累計】25位 / 全97件
3.2,Yae Miko|Tartaglia,2022-11-18,2022-12-06,1187000000,11.87億G,jp_ios,game_i_daa,2022,【年間】16位 / 全18件,【累計】39位 / 全97件
3.2,Nahida|Yoimiya,2022-11-02,2022-11-18,1739000000,17.39億G,jp_ios,game_i_daa,2022,【年間】9位 / 全18件,【累計】17位 / 全97件
3.1,Nilou|Albedo,2022-10-14,2022-11-01,740000000,7.40億G,jp_ios,game_i_daa,2022,【年間】18位 / 全18件,【累計】61位 / 全97件
3.1,Cyno|Venti,2022-09-28,2022-10-14,2836000000,28.36億G,jp_ios,game_i_daa,2022,【年間】3位 / 全18件,【累計】3位 / 全97件
3.0,Ganyu|Sangonomiya Kokomi,2022-09-09,2022-09-27,1480000000,14.80億G,jp_ios,game_i_daa,2022,【年間】11位 / 全18件,【累計】24位 / 全97件
